model,distance,eval_block,f1_mean,f1_std,n_repeats,n_train_matched,n_train_full_cumulative
random_forest,1,1,0.9962512779734182,0.0,10,9767,9767
random_forest,1,2,0.9966380003669002,0.0005057739895100747,10,9767,19533
random_forest,1,3,0.9930059533538321,0.00022688449079815408,10,9767,29299
random_forest,1,4,0.9964479488130005,0.00020253047826235195,10,9767,39065
random_forest,1,5,0.9923225636922414,0.00014340823051456157,10,9767,48831
xgboost,1,1,0.996138996138996,1.1102230246251565e-16,10,9767,9767
xgboost,1,2,0.9945722521759265,0.0008353024015488279,10,9767,19533
xgboost,1,3,0.9927578925414572,0.00022604818102797707,10,9767,29299
xgboost,1,4,0.9957462829063732,0.0003270218454686505,10,9767,39065
xgboost,1,5,0.9917621911478344,0.00037766921811137273,10,9767,48831
logistic_regression,1,1,0.9944223107569721,0.0,10,9767,9767
logistic_regression,1,2,0.9920973020357507,0.00017678236044283427,10,9767,19533
logistic_regression,1,3,0.9881151759738188,0.0006065395097493738,10,9767,29299
logistic_regression,1,4,0.9936551297354063,0.00031690579895981484,10,9767,39065
logistic_regression,1,5,0.9895022864065932,0.0006105652221732009,10,9767,48831
