model,strategy,train_blocks,eval_block,distance,f1,n_train,n_eval
random_forest,aleatoria,80%,20% (aleatorio),,0.9952013710368466,46878,11720
random_forest,fija,0,1,1.0,0.9962512779734182,9767,9766
random_forest,fija,0,2,2.0,0.9953880875282112,9767,9766
random_forest,fija,0,3,3.0,0.9924785417219715,9767,9766
random_forest,fija,0,4,4.0,0.9960310301280895,9767,9766
random_forest,fija,0,5,5.0,0.9915548931942375,9767,9767
random_forest,ventana,0,1,1.0,0.9962512779734182,9767,9766
random_forest,ventana,1,2,1.0,0.9971588125796023,9766,9766
random_forest,ventana,2,3,1.0,0.9928388294580497,9766,9766
random_forest,ventana,3,4,1.0,0.9961257770970358,9766,9766
random_forest,ventana,4,5,1.0,0.9923904052936311,9766,9767
random_forest,acumulativa,0-0,1,1.0,0.9962512779734182,9767,9766
random_forest,acumulativa,0-1,2,1.0,0.9971588125796023,19533,9766
random_forest,acumulativa,0-2,3,1.0,0.9933692865352312,29299,9766
random_forest,acumulativa,0-3,4,1.0,0.9965741074648395,39065,9766
random_forest,acumulativa,0-4,5,1.0,0.9926391530890745,48831,9767
xgboost,aleatoria,80%,20% (aleatorio),,0.9951186092318233,46878,11720
xgboost,fija,0,1,1.0,0.9961389961389961,9767,9766
xgboost,fija,0,2,2.0,0.9938095706003733,9767,9766
xgboost,fija,0,3,3.0,0.9921245907441819,9767,9766
xgboost,fija,0,4,4.0,0.9952187640956247,9767,9766
xgboost,fija,0,5,5.0,0.9902236951118476,9767,9767
xgboost,ventana,0,1,1.0,0.9961389961389961,9767,9766
xgboost,ventana,1,2,1.0,0.9944101206237128,9766,9766
xgboost,ventana,2,3,1.0,0.9923083723808682,9766,9766
xgboost,ventana,3,4,1.0,0.9948681011974431,9766,9766
xgboost,ventana,4,5,1.0,0.9915646708567648,9766,9767
xgboost,acumulativa,0-0,1,1.0,0.9961389961389961,9767,9766
xgboost,acumulativa,0-1,2,1.0,0.994805449377634,19533,9766
xgboost,acumulativa,0-2,3,1.0,0.9930168832316804,29299,9766
xgboost,acumulativa,0-3,4,1.0,0.9962141698215251,39065,9766
xgboost,acumulativa,0-4,5,1.0,0.9924749855288183,48831,9767
logistic_regression,aleatoria,80%,20% (aleatorio),,0.9933933933933934,46878,11720
logistic_regression,fija,0,1,1.0,0.9944223107569721,9767,9766
logistic_regression,fija,0,2,2.0,0.9921228830248129,9767,9766
logistic_regression,fija,0,3,3.0,0.9876433460752067,9767,9766
logistic_regression,fija,0,4,4.0,0.9908439851328076,9767,9766
logistic_regression,fija,0,5,5.0,0.9842408071374968,9767,9767
logistic_regression,ventana,0,1,1.0,0.9944223107569721,9767,9766
logistic_regression,ventana,1,2,1.0,0.9920314805705853,9766,9766
logistic_regression,ventana,2,3,1.0,0.9894550287992911,9766,9766
logistic_regression,ventana,3,4,1.0,0.9952187640956247,9766,9766
logistic_regression,ventana,4,5,1.0,0.9904761904761905,9766,9767
logistic_regression,acumulativa,0-0,1,1.0,0.9944223107569721,9767,9766
logistic_regression,acumulativa,0-1,2,1.0,0.9932160062923999,19533,9766
logistic_regression,acumulativa,0-2,3,1.0,0.9909622541201488,29299,9766
logistic_regression,acumulativa,0-3,4,1.0,0.9957615655153756,39065,9766
logistic_regression,acumulativa,0-4,5,1.0,0.9912237125351879,48831,9767
