feature_set,model,distance,f1,n_train,n_eval
full_32,random_forest,1,0.9962512779734182,9767,9766
full_32,random_forest,2,0.9953880875282112,9767,9766
full_32,random_forest,3,0.9924785417219715,9767,9766
full_32,random_forest,4,0.9960310301280895,9767,9766
full_32,random_forest,5,0.9915548931942375,9767,9767
full_32,xgboost,1,0.9961389961389961,9767,9766
full_32,xgboost,2,0.9938095706003733,9767,9766
full_32,xgboost,3,0.9921245907441819,9767,9766
full_32,xgboost,4,0.9952187640956247,9767,9766
full_32,xgboost,5,0.9902236951118476,9767,9767
full_32,logistic_regression,1,0.9944223107569721,9767,9766
full_32,logistic_regression,2,0.9921228830248129,9767,9766
full_32,logistic_regression,3,0.9876433460752067,9767,9766
full_32,logistic_regression,4,0.9908439851328076,9767,9766
full_32,logistic_regression,5,0.9842408071374968,9767,9767
ablated_28_no_url_shape,random_forest,1,0.9594069890575362,9767,9766
ablated_28_no_url_shape,random_forest,2,0.9639138784999495,9767,9766
ablated_28_no_url_shape,random_forest,3,0.9502395871728714,9767,9766
ablated_28_no_url_shape,random_forest,4,0.9738489871086556,9767,9766
ablated_28_no_url_shape,random_forest,5,0.9609414975268634,9767,9767
ablated_28_no_url_shape,xgboost,1,0.9569107605368495,9767,9766
ablated_28_no_url_shape,xgboost,2,0.9619460987180781,9767,9766
ablated_28_no_url_shape,xgboost,3,0.9496641207324928,9767,9766
ablated_28_no_url_shape,xgboost,4,0.9723807770208065,9767,9766
ablated_28_no_url_shape,xgboost,5,0.9597206846632036,9767,9767
ablated_28_no_url_shape,logistic_regression,1,0.9242350655658087,9767,9766
ablated_28_no_url_shape,logistic_regression,2,0.9589124480064929,9767,9766
ablated_28_no_url_shape,logistic_regression,3,0.932522227421619,9767,9766
ablated_28_no_url_shape,logistic_regression,4,0.9724246057364198,9767,9766
ablated_28_no_url_shape,logistic_regression,5,0.9567895952768033,9767,9767
